shortcut,generalFarsi,generalEnglish,technicalFarsi,technicalEnglish
خالی,"با سلام و احترام،


ایمیلی که از سوی شما دریافت شده است، فاقد توضیحات یا اطلاعاتی درباره موضوع مورد نظر است. خواهشمند است توضیحات لازم و کافی را در ارتباط با موضوع خود ارسال فرمایید تا امکان بررسی و پاسخ‌گویی دقیق‌تر فراهم شود.


پیشاپیش از همکاری شما سپاسگزاریم.",,,
انقضای بونس,"با سلام و احترام،


به اطلاع می‌رساند مهلت اعتبار یک‌ماهه بونوس در حساب شماره 12978779 در تاریخ 2025.01.12 به پایان رسیده و حساب شما غیرفعال شده است. در صورت برگزاری کمپین‌های جدید، این موضوع به اطلاع تمامی کاربران خواهد رسید.


با تشکر",,,
opo ib network.fa,"با سلام و احترام؛

به اطلاع می‌رساند جهت معرفی معرف به حساب معاملاتی، لازم است در زمان افتتاح حساب و در بخش Opo IB Network، کد شناسایی معرف موردنظر خود را وارد نمایید.

خواهشمند است توجه داشته باشید که امکان ثبت معرف برای حساب‌هایی که پیش‌تر افتتاح شده‌اند وجود ندارد. در صورت عدم نیاز به حساب‌های افتتاح‌شده بدون معرف، لطفاً شماره آن‌ها را جهت حذف برای ما ارسال فرمایید تا اقدامات لازم انجام شود.

در صورت وجود هرگونه سؤال یا نیاز به راهنمایی بیشتر،مجدداً با ما در تماس باشید.

با تشکر",,,
ارجاع به واحد مربوطه جهت تماس,"با سلام و احترام؛


به اطلاع می رساند درخواست شما به واحد آی بی ارجاع داده شد و همکاران ما به زودی
با شما در تماس خواهند بود.


با تشکر",,,
ایمیل آی بی,"با سلام و احترام؛


لطفا درخواست های خود را در این خصوص به آدرس ایمیل partners@opofinance.com ارسال
فرمایید.


با تشکر",,,
ریسک شناور تکنیکال فعالسازی,"با سلام و احترام ،
 

حساب معاملاتی به شماره ی ---- مورد بررسی قرار گرفت و نتیجه به شرح زیر است:
 

حساب مذکور به دلیل رسیدن به ریسک شناور بریچ اعلام شده است.
 

با توجه به قوانین شرکت FORFX ، اگر ایکوئیتی حساب در شرایطی غیر از زمان اخبار مهم به دلیل اسلیپیج به ریسک شناور برسد، از این نقض قانون چشم پوشی میشود و حساب معاملاتی مجددا فعال می شود.
 

بنابراین حساب شما دوباره فعال شده و می توانید فعالیت خود را از سر بگیرید.

توجه داشته باشید خریدهایی که از تاریخ ۲ مارچ ۲۰۲۶ انجام شده اند شامل این چشم پوشی نمی شوند.

 

با سپاس از ه��راهی شما",,,
registered email,,"Dear Client,

To proceed with your request, please send it using the email address you originally registered with.

Best regards,",,
همکاری,"با سلام و احترام،


توجه و انتخاب شما مایه افتخار ماست. لطفا جهت ارتباط با بخش مربوطه و برقراری تماس به آدرس زیر ایمیل ارسال بفرمایید.
affiliate@forfx.com
با سپاس از همراهی شما",,,
VPN request config,"با سلام و احترام؛

به اطلاع می رساند درخواست VPN شما با حجم ۲ گیگابایت مورد تایید قرار گرفته است. شما می توانید از طریق لینک کانفیگ زیر نسبت به اتصال اقدام فرمایید:
🔗 https://wgpanel.com/u/74a69127-5cfb-4088-8be3-a5c779316831 [https://wgpanel.com/u/74a69127-5cfb-4088-8be3-a5c779316831]

در صورت داشتن هرگونه سوال و یا نیاز به راهنمایی بیشتر، مجدداً با ما در تماس باشید.

با تشکر",,,
خریداری سرور مجازی,"با سلام و احترام ،

جهت خریداری سرور مجازی ، نوع سرور مورد نظر خود را از لیست زیر انتخاب کنید.
پس از انتقال هزینه ی مربوط به سرور به ولت اصلی خود، درخواست خریداری سرور را به
آدرس ایمیل support@opofinance.com ارسال نمایید.
همکاران ما در بخش فنی ، هزینه سرور را از حساب شما کسر کرده و اطلاعات سرور را
برای شما ارسال می نمایند.

لازم به ذکر است که مدت زمان استفاده از سرور ها ۳۰ روز می باشد و پس از اتمام دوره
می توانید با شارژمجدد ولت خود ، سرور خود را تمدید نمایید.


Bronze
دریافت به صورت رایگان : بالانس 3,000 دلار 
قیمت خرید : 20 دلار 
RAM 1080
CPU 1
Disk 30


Silver
دریافت به صورت رایگان : بالانس 5,000 دلار 
قیمت خرید : 40 دلار 
RAM 2048
CPU 2
Disk 30


Gold
دریافت به صورت رایگان : بالانس 10,000 دلار 
قیمت خرید : 60 دلار 
RAM 4096
CPU 2
Disk 50

موفق و پیروز باشید.",,,
2Fa problem En,,"Dear Client,


Please follow the steps below:


1. Open the main menu of the Google Authenticator app, go to Settings, then select Time Correction for Codes, and click on Sync Now.
2. Clear your browser’s cache and reload the login page.
3. If you need to disable two-factor authentication, please send a request from your registered email to support@opofinance.com.


Thank you for your cooperation.


Best regards,
Opofinance Support Team",,
بررسی,"با سلام و احترام،



درخواست بررسی حساب شما با موفقیت دریافت و به بخش فنی ارجاع داده شده است.



با توجه به حجم بالای بررسی ها، فرآیند بررسی و اعلام نتیجه نهایی کمی زمان بر خواهد بود.



خواهشمند است تا زمان بررسی کامل صبوری بفرمایید؛ نیازی به پیگیری مجدد وجود ندارد.



از همراهی، حمایت و اعتماد همیشگی شما صمیمانه سپاسگزاریم.



با احترام،
تیم پشتیبانی",,,
حذف پراپ,"با سلام و احترام،

به اطلاع می‌رساند که به دلیل محدودیت در تعداد چالش ها ، حذف حساب شماره 85114356 امکان‌پذیر نمی‌باشد. همچنین، شما در حال حاضر تنها مجاز به افتتاح حساب‌های پراپ 5k و 1k هستید.

شایان ذکر است که حساب شماره 95021564 حذف شده است.

در صورت وجود هرگونه سؤال یا نیاز به راهنمایی بیشتر، لطفاً مجدداً با ما در تماس باشید.

با تشکر",,,
برداشت بالانس,"با سلام و احترام،

به منظور تعدیل نرخ ثبات، راهکار پیشنهادی به شرح زیر ارائه می گردد:
تنها متغیر مؤثر، سود کل در نظر گرفته شود و لازم است از رسیدن به سقف بزرگ ترین برایند روزانه پرهیز گردد.


به منظور دستیابی به میزان بالانس لازم جهت تعدیل نرخ ثبات به کمتر از ۲۰٪ ، مشروط بر ثابت نگه داشتن بزرگ ترین برایند روزانه، می توان از فرمول زیر استفاده نمود:


بزرگ ترین برایند روزانه ÷ 0.2


به منظور دستیابی به میزان بالانس لازم جهت تعدیل نرخ ثبات به کمتر از ۱۵٪ ، مشروط بر ثابت نگه داشتن بزرگ ترین برایند روزانه، می توان از فرمول زیر استفاده نمود:
بزرگ ترین برایند روزانه ÷ 0.15

به طور مثال، چنانچه بزرگ ترین برایند روزانه ۴۰۰ دلار باشد، با تقسیم این مقدار بر 0.2، عدد ۲۰۰۰ دلار به دست می آید. این بدین معناست که با رسیدن سود کل حساب به ۲۰۰۰ دلار، امکان برداشت فراهم خواهد بود.

موفق باشید",,,
bonus end,,"Dear client,


The bonus campaign has now ended. If any new campaigns are launched in the future, all users will be promptly informed.


Best regards.",,
Forfx email. En,,"Dear client,


Please address matters related to the prop account to Forfx support via live
chat (online chat support) on the company's main website at www.forfx.com
[http://www.forfx.com/], or by emailing support@forfx.com.


Best regards. [support@forfx.com]",,
حساب مسابقه ارسال شده,"با سلام و احترام،


مشخصات حساب مسابقه از طریق ایمیل خدمت شما ارسال شده است و همچنین در پنل کاربری هم قابل مشاهده میباشد.


با سپاس از همراهی شما.",,,
اسلیپج,"با سلام و احترام،

اسلیپیج و واید شدن اسپرد ممکن است در زمان انتشار اخبار مهم، وقوع گپ‌های قیمتی، یا نوسانات شدید بازار رخ دهد و این پدیده کاملاً طبیعی و غیرقابل اجتناب در بازارهای مالی است. این شرایط معمولاً به دلیل عدم تطابق لحظه‌ای بین تقاضا و عرضه در بازار رخ می‌دهد.

انواع اسلیپیج
اسلیپیج منفی: سفارش در قیمتی بدتر از قیمت مورد نظر اجرا می شود (مثلاً خرید در 101 دلار به جای 100 دلار).
اسلیپیج مثبت: سفارش در قیمتی بهتر از قیمت مورد نظر اجرا می شود (مثلاً خرید در 99 دلار به جای 100 دلار).


اسلیپیج بخش جدایی ناپذیر بازارهای مالی است و تنها در زمان انتشار اخبار رخ نمی دهد، بلکه در شرایطی مانند کاهش نقدینگی یا حرکات شدید بازار نیز امری کاملا طبیعی میباشد.

لازم به ذکر است که فوراف ایکس هیچ‌گونه مسئولیتی در قبال وقوع این موارد ندارد، زیرا این پدیده‌ها به عنوان بخشی از ماهیت طبیعی بازارهای مالی و معاملاتی محسوب می‌شوند. توصیه می‌شود معامله‌گران در زمان‌هایی که احتمال نوسانات شدید وجود دارد، مدیریت ریسک خود را به طور جدی مد نظر قرار دهند.

لینک قانون مربوطه [https://forfx.com/fa/general-rules-fa/sllippage/?s=%25D8%25A7%25D8%25B3%25D9%25BE%25D8%25B1%25D8%25AF]

موفق باشید",,,
OpoTrade maintenance,"با سالم و وقت بخیر،
در حال حاضر پلتفرم OpoTrade در دست تعمیر و بروزرسانی میباشد. به همین دلیل ممکن است چارت و قیمتها با تأخیر نمایش داده شوند.

شما میتوانید از دو روش زیر استفاده کنید:
۱. حساب تریدینگ ویو افتتاح نموده و از طریق TradingView به حساب خود متصل شوید.
۲. با همان اطلاعات حساب OpoTrade خود در متاتریدر ۵ (MT5) وارد شوید — زیرا زیرساخت پلتفرم OpoTrade متاتریدر ۵ میباشد.

پس از اتمام بروزرسانی، طی روزهای آینده OpoTrade مجدداً قابل استفاده خواهد بود.

با احترام،
تیم پشتیبانی اپوفایننس",,,
MT5 relogin,"با سالم و احترام،
به جهت رفع مشکل مطرح شده لازم است یکبار حساب معامالتی را از متاتریدر ۵ کاملاً پاک کنید و دوباره وارد شوید.

ابتدا تمام پنجره نمودارها را ببندید و سپس لطفاً مراحل زیر را به ترتیب انجام دهید:
۱. از منوی View گزینه Navigator را انتخاب کنید.
۲. در پنجره Navigator، روی شماره حسابی که میخواهید حذف کنید کلیک راست کنید.
۳. گزینه Delete را انتخاب کنید.
۴. پس از حذف، یک بار از حساب خود خارج (Logout) شده و مجدداً وارد (Login) شوید.

توجه: لطفاً کلیه حسابهایی که دیگر استفاده نمیکنید را به همین روش حذف کنید.
همچنین در نرم افزار موبایل در قسمت Setting میتوانید حساب معامالتی را Delete کرده و دوباره وارد شوید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
social trade redirect,"با سالم و احترام،
لطفاً موارد مربوط به سوشیال ترید را به پشتیبانی سوشیال ترید از طریق لایو چت (پشتیبانی چت آنلاین) به صورت تیکت، و یا به آدرس ایمیل socialtrading@opofinance.com ارسال نمایید.

همکاران ما در پشتیبانی سوشیال ترید شما را در این زمینه راهنمایی خواهند کرد.

با تشکر،
تیم پشتیبانی اپوفایننس",,,
MT5 reinstall,"با سالم و احترام،
جهت رفع مشکل، لطفاً متاتریدر ۵ را هم از سیستم و هم از موبایل خود به طور کامل حذف (Uninstall) کنید.

سپس به پنل کاربری خود در سایت اپوفایننس مراجعه کرده و نرمافزار متاتریدر ۵ را مجدداً از آنجا دانلود و نصب کنید.

پس از نصب، وارد حساب خود شوید و چارتها را بررسی کنید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
need more info,"با سالم و احترام،
به استحضار میرساند ایمیل شما دریافت شد. خواهشمند است جهت ارائه راهنمایی دقیقتر، توضیحات کاملتری در خصوص درخواست یا پرسش خود ارائه فرمایید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
sent to technical,"با سالم و احترام،
درخواست شما ثبت و به واحد فنی ارسال شده است. بررسی این مورد نیازمند زمان است و پس از تکمیل، نتیجه از طریق ایمیل به شما اعلام خواهد شد.

از صبر و شکیبایی شما سپاسگزاریم.

با احترام،
تیم پشتیبانی اپوفایننس",,,
access point,"با سالم و احترام،
مشکل عدم بارگذاری دیتای نمودار در متاتریدر ۵ معمولاً به دلیل اتصال به یک نود سرور با اختلال در دریافت دیتا (Data Feed) رخ میدهد. برای رفع این مشکل، تغییر Server Access از طریق مراحل زیر توصیه میشود:

۱. وارد متاتریدر ۵ شوید.
۲. در گوشه پایین سمت راست، روی آیکون آنتن (Connection Status) کلیک کنید.
۳. پنجره Server Access باز میشود و لیست Access Pointهای موجود نمایش داده میشود.
۴. روی دکمه Rescan Network کلیک کنید تا تاخیر پینگ هر Access Point اندازه گیری شود.
۵. از بین Access Pointهای موجود (مانند Server NL، Server1، ...)، گزینهای که کمترین پینگ و بهترین دریافت دیتا را دارد انتخاب کنید.
۶. در صورت تداوم مشکل، هر یک از Access Pointها را به ترتیب تست کنید تا ارتباط پایدار با Data Feed برقرار شود.

پس از اعمال تغییرات، لطفاً نتیجه را به همراه موارد زیر به این ایمیل گزارش دهید:
- Access Point قبلی (هنگام بروز خطا)
- Access Point جدید (که مشکل را برطرف کرده)
- وضعیت پینگ هر کدام

در نسخه موبایل نیز از مسیر Manage Accounts میتوانید Access Point متصل را مشاهده کنید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
access point mobile,"با سالم و احترام،
در نسخه موبایل متاتریدر ۵، پس از لاگین موفق به حساب، میتوانید از مسیر زیر نام Access Point متصل را مشاهده کنید:

Manage Accounts ← نام Access Point در کنار وضعیت اتصال (Connected)

نکات فنی:
- نام Access Point تنها پس از ورود به حساب و در صفحه Manage Accounts قابل مشاهده است.
- نسخه موبایل قابلیت تغییر Access Point را ندارد و این بخش صرفاً Diagnostic میباشد.
- برای تغییر Access Point، از نسخه دسکتاپ متاتریدر ۵ از طریق آیکون آنتن، سپس Network Rescan ← انتخاب Access Point با کمترین Latency اقدام کنید.

لطفاً نام Access Point متصل خود را به همراه اسکرینشات به این ایمیل گزارش دهید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
LP escalation,"با سالم و احترام،
درک میکنیم که مدت زمان بررسی برای شما طولانی شده و از صبر شما سپاسگزاریم.

موضوع شما به تأمینکننده نقدینگی (Liquidity Provider) ارجاع داده شده است و نتیجه نهایی و تصمیمگیری در خصوص جبران خسارت بر اساس بررسی فنی ایشان تعیین میگردد. این فرآیند خارج از اختیار مستقیم اپوفایننس بوده و ما نیز منتظر نتیجه بررسی از سمت ایشان هستیم.

به محض دریافت پاسخ از تأمینکننده نقدینگی، جزئیات کامل حساب و نتیجه جبران‌خسارت از طریق ایمیل به اطلاع شما خواهد رسید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
friday leverage,"با سالم و احترام،
در روزهای جمعه، از ۳ ساعت قبل از بسته شدن بازار، لوریج پوزیشنهای جدید برای فلزات به ۱:۵۰ کاهش پیدا میکند. با این لوریج، مارجین مورد نیاز برای باز کردن حتی کوچکترین حجم طلا افزایش مییابد.

این محدودیت خودکار پس از بازگشایی بازار در روز دوشنبه برداشته میشود و لوریج حساب شما به حالت عادی برمیگردد.

با احترام،
تیم پشتیبانی اپوفایننس",,,
leverage adjustment,"با سالم و احترام،
به استحضار میرساند میزان اهرم در برخی بازه های زمانی و شرایط خاص بازار ممکن است به صورت موقت تغییر کند. این تغییرات در راستای مدیریت ریسک و متناسب با شرایط نقدشوندگی و نوسانات بازار اعمال میشود.

مواردی که ممکن است باعث تعدیل موقت اهرم شوند:

۱. سی دقیقه پیش از توقف روزانه بازار طلا — اهرم معامالت طلا به صورت خودکار تنظیم میشود.

۲. پیش از آخر هفتهها و تعطیلات رسمی — سه ساعت پیش از بسته شدن بازار:
- فارکس: تا سقف ۱:۱۰۰
- فلزات، شاخصها و انرژی: تا سقف ۱:۵۰

۳. زمان انتشار اخبار اقتصادی مهم — از ۱۵ دقیقه پیش از خبر تا ۱۰ دقیقه پس از انتشار:
- فارکس: تا سقف ۱:۱۰۰
- فلزات، شاخصها و انرژی: تا سقف ۱:۵۰
- کریپتو: تا سقف ۱:۱۰

۴. زمان انتشار گزارش مالی شرکت — اهرم ممکن است به صورت موقت تنظیم شود.

با احترام،
تیم پشتیبانی اپوفایننس",,,
MT5 install,"با سالم و احترام،
نسخه متاتریدر Metatrader 5 و Metatrader 4 را از وبسایت رسمی دانلود و نصب نمایید.

- در زمان نصب در صورت وجود آنتی ویروس و فایروال غیرفعال نموده و به فیلترشکن متصل باشید و بررسی کنید که نصب به صورت صحیح انجام شده باشد.
- همچنین میتوانید از نسخه وب ترمینال در داخل پنل کاربری اقدام به ورود کنید.
- پس از نصب، در پنجره Market Watch کلیک راست کنید و گزینه Show All را غیرفعال نمایید تا فقط نمادهای مورد نیاز شما بارگذاری شود.
- به عنوان راهکار جایگزین، میتوانید از نسخه وب ترمینال (WebTerminal) داخل پنل کاربری استفاده کنید که نیاز به نصب و دانلود دیتا ندارد.

با احترام،
تیم پشتیبانی اپوفایننس",,,
iran server,"با سالم و احترام،
به استحضار میرساند زیرساختهای اختصاصی کارگزاری در ایران برای آدرسهای opo.finance و client.opo.finance مجدداً فعال شده و در حال حاضر با سرعت و پایداری بالا در دسترس هستند.

تمامی خدمات در پنل کاربری، از جمله احراز هویت (KYC)، سوشیال تریدینگ، وبتریدینگ و سایر قابلیتهای موجود در نسخه جهانی، هماکنون بدون نیاز به فیلترشکن به طور کامل قابل استفاده میباشند.

- ورود به کابین شخصی: client.opo.finance
- وبسایت اصلی: opo.finance

نکته: هنگام استفاده از لینکهای فوق حتماً فیلترشکن خود را خاموش نمایید.

راهنمای اتصال دسکتاپ MT5:
۱. به منوی File و سپس بخش Login to Trade Account بروید.
۲. در قسمت Server، آدرس زیر را کپی و جایگزین آدرس قبلی کنید: mt5.opo.finance
۳. بر روی Login کلیک کنید.

توجه: این تنظیمات فقط با اینترنت داخلی ایران کار میکند — حتماً پیش از اتصال، فیلترشکن (VPN) خود را خاموش کنید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
close by,"با سالم و احترام،
موضوع مطرحشده بهصورت کامل بررسی گردید و بر اساس لاگ سرور معامالتی، هیچگونه بستن خودکار یا مداخلهای از سوی کارگزاری انجام نشده است.

معامله مورد اشاره توسط کاربر و از طریق قابلیت Close By در پلتفرم متاتریدر بسته شده است. این ثبت بهصورت سیستمی نشان میدهد که دو پوزیشن مخالف یکدیگر با استفاده از قابلیت Close By بسته شدهاند. در این حالت:

- قیمت بسته شدن معامله دوم، بر اساس قیمت باز شدن معامله مقابل محاسبه میشود.
- این فرآیند کاملاً از طریق پلتفرم و با تأیید کاربر انجام میشود.
- کارگزاری هیچگونه دسترسی برای اجرای دستی این عملیات ندارد.

با توجه به ثبت دقیق این عملیات در سرور، از نظر فنی موضوع قطعی و شفاف است.

در صورت نیاز به توضیح بیشتر در خصوص نحوه عملکرد قابلیت Close By، همکاران پشتیبانی آماده راهنمایی خواهند بود.

با احترام،
تیم پشتیبانی اپوفایننس",,,
slippage,"با سالم و احترام،
اسلیپیج در بازارهای مالی به اختلاف بین قیمت مورد انتظار برای یک معامله و قیمتی که معامله در آن واقعاً اجرا میشود، اطلاق میگردد. این وضعیت معمولاً در شرایط زیر رخ میدهد:

- نوسانات شدید بازار: قیمتها سریع تغییر کرده و ممکن است معامله در قیمتی غیر از قیمت درخواستی اجرا شود.
- حجم پایین معامالت: در بازارهایی که نقدینگی پایین دارند، سفارش ممکن است در قیمتی متفاوت اجرا گردد.

انواع اسلیپیج:
- اسلیپیج منفی: سفارش در قیمتی بدتر از قیمت مورد نظر اجرا میشود (مثلاً خرید در ۱۰۱ دلار به جای ۱۰۰ دلار).
- اسلیپیج مثبت: سفارش در قیمتی بهتر از قیمت مورد نظر اجرا میشود (مثلاً خرید در ۹۹ دلار به جای ۱۰۰ دلار).

بروکر اپوفایننس در راستای حمایت از معاملهگران، استاپلاسهایی را که با اسلیپج اجرا شدهاند مورد بازبینی قرار میدهد. تنها معامالتی بررسی خواهند شد که با زیان بسته شده باشند و میزان اسلیپج در نماد طلا بیش از ۲ پیپ و در سایر نمادها بیش از ۳ پیپ باشد.

موردی که مطرح شد جهت بررسی به بخش مربوطه ارسال شده است.

با احترام،
تیم پشتیبانی اپوفایننس",,,
bid ask,"با سالم و احترام،
لازم به ذکر است که در معاملات:
- پوزیشنهای SELL بر اساس قیمت BID باز شده و بر اساس قیمت ASK بسته میشوند.
- پوزیشنهای BUY بر اساس قیمت ASK باز شده و بر اساس قیمت BID بسته میشوند.

اسپرد حساب از اختلاف بین قیمتهای BID و ASK محاسبه میشود.

توجه داشته باشید که نمودار قیمت (Chart) تنها قیمت BID را نمایش میدهد، در حالی که قیمت ASK که همواره مقداری بالاتر از قیمت BID است، در پنجره ثبت سفارش (Order Window) قابل مشاهده میباشد.

این موضوع در خصوص نقاط ورود، حد سود (Take Profit) و حد ضرر (Stop Loss) نیز صدق میکند؛ بنابراین هنگام تعیین این سطوح، لازم است میزان اسپرد حساب بهطور کامل مدنظر قرار گیرد.

با احترام،
تیم پشتیبانی اپوفایننس",,,
commission,"با سالم و احترام،
در پاسخ به سوال شما درباره ساختار کمیسیون حسابهای معامالتی Opofinance، به صورت زیر دستهبندی میشوند:

بدون کمیسیون:
- Standard
- Black
- Social Trade

کمیسیون ۶ دالر به ازای هر لات:
- ECN

کمیسیون ۴ دالر به ازای هر لات:
- ECN Pro
- Social Trade Pro

با احترام،
تیم پشتیبانی اپوفایننس",,,
high risk client,"با سالم و احترام،
از دقت و توجه شما نسبت به مفاد قرارداد سپاسگزاریم.

۱. تعریف High-Risk Client: شرکت این حق را برای خود محفوظ میدارد که مشتریانی را که از منظر مدیریت ریسک دارای ریسک بالاتر تشخیص داده میشوند، در دسته High-Risk Client قرار دهد؛ از جمله رفتار معامالتی، تمرکز بیش از حد حجم معامالت، فعالیتهای معامالتی سوءاستفادهگرانه، آربیتراژ تأخیری، شاخصهای جریان معامالتی سمی و ریسکهای مرتبط با نقدشوندگی.

۲. اسکالپ مجاز است تا جایی که رفتار سوءاستفادهگرایانه مشاهده نشود.

۳. معاملات در زمان انتشار اخبار اقتصادی مجاز هستند؛ با این حال طبق بند Leverage Adjustment Policy، شرکت میتواند بهصورت موقت اهرم حساب را برای معامالت جدید کاهش دهد.

۴. استفاده از VPN و VPS مجاز است. سودآوری مستمر مشکلی برای معاملهگر ایجاد نمیکند.

۵. مطابق قرارداد، شرکت میتواند اقدامات مربوط به Dynamic Leverage، افزایش مارجین یا سایر محدودیتهای معامالتی را در صورت لزوم و حتی بدون اطلاع قبلی اعمال کند.

با احترام،
تیم پشتیبانی OpoFinance",,,
price from LP,"با سالم و احترام،
به استحضار میرساند کلیه قیمتهایی که در پلتفرمهای معامالتی نمایش داده میشوند، مستقیماً از سوی لیکوییدیتیپروایدر دریافت شده و بدون هیچگونه دخالت از جانب بروکر بر روی پلتفرم درج میگردند.

هرگونه اختلاف قیمتی مشاهدهشده میان چارتها، ناشی از تفاوت لیکوییدیتیپروایدرها در بروکرها و پلتفرمهای معامالتی مختلف میباشد.

شایان ذکر است، مالک و مرجع اصلی معامالت کاربران، چارت رسمی بروکر اپوفایننس در پلتفرمهای معامالتی این بروکر خواهد بود. این سازوکار در تمامی کارگزاریهایی که بهصورت مستقیم به بازار متصل هستند، به همین نحو اجرا میگردد.

با احترام،
تیم پشتیبانی اپوفایننس",,,
2000 deals limit,"با سالم و احترام،
کلیه حساب های معامالتی (اعم از دمو و واقعی) دارای محدودیت ۲۰۰۰ معامله (Deal) در هر روز معامالتی میباشند. این محدودیت در سطح پلتفرم برای تضمین پایداری سرورها و جلوگیری از مصرف بیش از حد منابع (Resource Exhaustion) تعیین شده است.

در صورتی که ربات (EA) شما به این سقف رسیده، سیستم معامالت جدید — حتی به صورت دستی — را رد میکند. این محدودیت در ابتدای روز معامالتی بعد به صورت خودکار بازنشانی میشود.

توصیه میشود برای ادامه تست ربات خود، تعداد معامالت را در تنظیمات EA محدود کنید تا با این محدودیت مواجه نشوید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
MT5 connection,"با سالم و احترام،
موارد زیر را برای اتصال بررسی بفرمایید:

- نسخه متاتریدر را از داخل پنل کاربری و یا وبسایت رسمی Metatrader 4 و Metatrader 5 دانلود و نصب نمایید.
- در زمان نصب در صورت وجود آنتی ویروس و فایروال غیرفعال نموده و به فیلترشکن متصل باشید.
- همچنین میتوانید از نسخه وب ترمینال در داخل پنل کاربری اقدام به ورود کنید.

موفق و پیروز باشید.",,,
floating spread,"با سالم و احترام،
لازم به ذکر است که اسپرد در بازارهای مالی شناور (Floating) بوده و مقدار ثابتی ندارد. اسپرد بر اساس شرایط لحظهای بازار تغییر میکند و عوامل مختلفی بر آن تأثیرگذار هستند، از جمله: میزان نقدشوندگی (Liquidity)، نوسانات قیمت (Market Volatility)، زمان و سشن معامالتی، انتشار اخبار مهم اقتصادی و حجم معامالت.

انواع حساب و اسپرد:
- Black Account: اسپرد نزدیک به ۰ پیپ
- ECN Pro Account: اسپرد از ۰ پیپ
- ECN Account: اسپرد از ۰.۸ پیپ
- Standard Account: اسپرد از ۱.۸ پیپ

در صورتی که استفاده از اسپردهای پایینتر برای استراتژی معامالتی شما اهمیت دارد، پیشنهاد میکنیم از حسابهای Black یا ECN Pro استفاده نمایید.

با احترام،
تیم پشتیبانی اپوفایننس",,,
journal log,"با سالم و احترام،
لطفاً جهت بررسی صحیح این مورد، مراحل زیر را در پلتفرم متاتریدر دنبال کنید:

۱. به تب «ژورنال» در نوار ابزار مراجعه کنید.
۲. در تب ژورنال کلیک راست کرده و گزینه «Viewer» را انتخاب کنید.
۳. بازه زمانی مورد نظر را تنظیم کنید یا شماره تیکت معاملات مشخص را جستجو نمایید.
۴. روی دکمه «Request» کلیک کنید تا اطلاعات مرتبط نمایش داده شود.
۵. روی موارد نمایش داده شده کلیک راست کرده و گزینه «Open» را انتخاب کنید تا فایلهای لاگ در پنجره جدید باز شود.

در پلتفرمهای موبایل نیز امکان بررسی ژورنال معامالت در بخش Journal وجود خواهد داشت.

لطفاً فایل لاگ مربوط به تاریخ مورد نظر را ذخیره و از طریق ایمیل برای ما ارسال نمایید.

با تشکر از همکاری شما،
تیم پشتیبانی اپوفایننس",,,
